Basin,Phase1,Phase1_contractor,Phase1_monthstarted,Phase1_yearstarted,Phase1_monthended,Phase1_yeareneded,
1-052,Y,Center for Collaborative Policy,4,2014,6,2017,
1-055.01,Y,MWH Global (Stantec),9,2016,6,2017,
2-001,Y,MWH Global (Stantec),9,2016,6,2017,
2-002.02,Y,MWH Global (Stantec),9,2016,6,2017,
3-004.01,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.02,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.04,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.05,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.06,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.06,Y,Center for Collaborative Policy,2,2017,3,2017,
3-004.08,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.09,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.10,Y,MWH Global (Stantec),7,2016,6,2017,
3-004.11,Y,MWH Global (Stantec),7,2016,6,2017,
4-003.01,Y,Center for Collaborative Policy,9,2015,6,2017,
4-004.07,Y,Center for Collaborative Policy,10,2016,6,2017,
4-004.07,Y,Center for Collaborative Policy,10,2016,6,2017,
5-002.14,Y,Center for Collaborative Policy,10,2016,6,2017,
5-006.03,Y,Center for Collaborative Policy,8,2016,6,2017,
5-006.04,Y,Center for Collaborative Policy,8,2016,6,2017,
5-021.52,Y,Center for Collaborative Policy,11,2015,6,2017,
5-021.52,Y,Center for Collaborative Policy,10,2015,6,2015,
5-021.57,Y,MWH Global (Stantec),5,2016,12,2016,
5-021.58,Y,Center for Collaborative Policy,11,2015,6,2017,
5-021.58,Y,MWH Global (Stantec),5,2016,12,2016,
5-021.58,Y,Center for Collaborative Policy,10,2015,6,2015,
5-021.59,Y,MWH Global (Stantec),5,2016,12,2016,
5-021.61,Y,MWH Global (Stantec),6,2015,6,2017,
5-021.64,Y,MWH Global (Stantec),4,2016,6,2017,
5-021.66,Y,MWH Global (Stantec),9,2015,6,2017,
5-021.67,Y,Center for Collaborative Policy,11,2015,6,2017,
5-021.69,Y,MWH Global (Stantec),5,2016,12,2016,
5-022.01,Y,MWH Global (Stantec),6,2015,6,2017,
5-022.03,Y,Center for Collaborative Policy,4,2017,6,2017,
5-022.04,Y,MWH Global (Stantec),9,2016,6,2017,
5-022.07,Y,MWH Global (Stantec),1,2017,6,2017,
5-022.08,Y,MWH Global (Stantec),1,2016,6,2017,
5-022.16,Y,MWH Global (Stantec),12,2016,6,2017,
6-012.01,Y,Center for Collaborative Policy,11,2017,6,2017,?
6-012.02,Y,Center for Collaborative Policy,11,2017,6,2017,?
6-054,Y,MWH Global (Stantec),10,2015,6,2017,
7-024.01,Y,Center for Collaborative Policy,10,2015,6,2017,
7-024.02,Y,Center for Collaborative Policy,10,2015,6,2017,
9-007,Y,Center for Collaborative Policy,11,2015,6,2017,