DACP_Place_IDNumber,Total_populatio_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,DAC_Population,Percent_white_not_hispanic,Percent_latino,Pop_difference
600310,696,620,38,658,215,89.08045977011494,5.459770114942529,481
600535,1912,605,1273,639,1547,31.642259414225943,66.57949790794979,365
600716,1799,1496,136,1663,295,83.15730961645359,7.5597554196775985,1504
600786,1026,857,50,976,255,83.52826510721248,4.8732943469785575,771
600982,413,366,0,413,115,88.61985472154964,0,298
601010,1875,279,1496,379,480,14.879999999999999,79.78666666666666,1395
601094,581,498,9,572,0,85.71428571428571,1.549053356282272,581
601164,1875,279,1496,379,969,14.879999999999999,79.78666666666666,906
601514,1332,975,166,1166,164,73.1981981981982,12.462462462462462,1168
601651,1521,532,870,651,3213,34.97698882314267,57.1992110453649,-1692
602028,1707,1429,209,1498,254,83.71411833626244,12.243702401874634,1453
602294,1160,791,290,870,2356,68.1896551724138,25,-1196
602420,1338,526,744,594,3009,39.31240657698057,55.60538116591929,-1671
602700,2058,207,1748,310,3531,10.058309037900875,84.93683187560738,-1473
603026,1171,867,293,878,54,74.0392826643894,25.02134927412468,1117
603316,2515,2262,239,2276,674,89.9403578528827,9.502982107355864,1841
603512,796,244,499,297,916,30.65326633165829,62.688442211055275,-120
603708,2800,934,1721,1079,333,33.357142857142854,61.464285714285715,2467
603792,788,667,23,765,575,84.64467005076142,2.918781725888325,213
604198,614,471,16,598,570,76.71009771986971,2.6058631921824107,44
604478,2110,1290,433,1677,2408,61.137440758293835,20.52132701421801,-298
604576,1067,631,194,873,1342,59.137769447047795,18.181818181818183,-275
604632,2114,755,1288,826,197,35.714285714285715,60.9271523178808,1917
604730,637,503,93,544,201,78.96389324960754,14.599686028257459,436
604856,836,689,0,836,46,82.41626794258373,0,790
605262,1350,1169,67,1283,314,86.59259259259258,4.962962962962963,1036
605346,1076,906,27,1049,178,84.20074349442379,2.509293680297398,898
606150,1805,1181,280,1525,2568,65.42936288088642,15.512465373961218,-763
606210,1202,904,220,982,2158,75.20798668885192,18.302828618968388,-956
606336,297,228,25,272,127,76.76767676767676,8.417508417508419,170
606475,1131,956,55,1076,87,84.52696728558797,4.862953138815207,1044
606560,1203,540,524,679,2010,44.88778054862843,43.557772236076474,-807
606635,523,414,72,451,1061,79.1586998087954,13.766730401529637,-538
606728,1353,53,1135,218,1017,3.917220990391722,83.88765705838877,336
606994,809,731,23,786,35,90.3584672435105,2.843016069221261,774
607162,689,581,4,685,1258,84.32510885341074,0.5805515239477503,-569
607172,523,414,72,451,174,79.1586998087954,13.766730401529637,349
607246,977,950,10,967,156,97.23643807574207,1.023541453428864,821
607274,1537,937,508,1029,1961,60.962914769030576,33.05139882888744,-424
607372,685,613,30,655,171,89.48905109489051,4.37956204379562,514
607512,765,241,516,249,1090,31.503267973856207,67.45098039215686,-325
607525,1172,939,176,996,959,80.11945392491468,15.017064846416384,213
607568,1406,970,191,1215,2241,68.9900426742532,13.584637268847796,-835
607578,1721,262,1251,470,1278,15.223707147007554,72.69029633933759,443
607694,1698,892,209,1489,434,52.532391048292105,12.308598351001178,1264
607750,3378,584,2218,1160,182,17.28833629366489,65.66015393724098,3196
608240,909,463,258,651,761,50.935093509350935,28.38283828382838,148
608530,3316,2712,337,2979,3589,81.78528347406514,10.162846803377564,-273
608716,541,420,72,469,50,77.63401109057301,13.308687615526802,491
608744,498,437,43,455,14,87.75100401606426,8.634538152610443,484
609122,2006,1807,160,1846,3172,90.07976071784645,7.976071784646062,-1166
609318,998,848,17,981,34,84.96993987975952,1.7034068136272544,964
609332,2340,956,1377,963,1371,40.85470085470085,58.84615384615385,969
609353,2159,417,1674,485,3805,19.314497452524318,77.53589624826309,-1646
609360,2944,950,1716,1228,3266,32.26902173913043,58.28804347826087,-322
609822,560,375,18,542,74,66.96428571428571,3.214285714285714,486
609834,664,469,137,527,367,70.63253012048193,20.632530120481928,297
609878,4223,367,2666,1557,7599,8.690504380771962,63.130475964953824,-3376
609990,427,229,174,253,424,53.62997658079626,40.749414519906324,3
610004,701,631,54,647,189,90.01426533523538,7.703281027104136,512
610032,747,7,261,486,1330,0.9370816599732262,34.93975903614458,-583
610559,40616,24707,9171,31445,6436,60.83070711049833,22.579771518613352,34180
610676,934,754,79,855,150,80.72805139186295,8.458244111349037,784
610732,1101,687,277,824,693,62.39782016348774,25.158946412352407,408
610816,890,9,881,9,440,1.0112359550561798,98.98876404494382,450
610914,581,498,9,572,78,85.71428571428571,1.549053356282272,503
611166,836,689,0,836,0,82.41626794258373,0,836
611376,686,653,17,669,14,95.18950437317784,2.478134110787172,672
611481,3103,2421,257,2846,66,78.02126973896229,8.282307444408636,3037
611600,420,376,5,415,38,89.52380952380953,1.1904761904761905,382
611614,1825,430,1210,615,3338,23.56164383561644,66.3013698630137,-1513
611754,1472,238,1207,265,114,16.168478260869566,81.99728260869566,1358
611782,1169,1076,68,1101,349,92.04448246364414,5.816937553464499,820
612146,538,485,35,503,312,90.14869888475836,6.5055762081784385,226
612314,476,401,63,413,0,84.24369747899159,13.23529411764706,476
612328,351,303,20,331,297,86.32478632478633,5.698005698005698,54
612818,1284,951,61,1223,80,74.06542056074767,4.750778816199377,1204
612860,1401,268,1078,323,295,19.129193433261957,76.94503925767309,1106
612930,631,602,19,612,1978,95.4041204437401,3.011093502377179,-1347
613077,752,645,107,645,130,85.77127659574468,14.22872340425532,622
613157,1335,883,195,1140,1376,66.14232209737828,14.606741573033707,-41
613182,754,506,141,613,99,67.10875331564988,18.70026525198939,655
613910,1418,1071,186,1232,182,75.52891396332863,13.117066290550069,1236
613985,2387,1771,446,1941,2912,74.19354838709677,18.68454126518643,-525
614148,765,539,189,576,0,70.45751633986929,24.705882352941178,765
614232,917,498,60,857,680,54.30752453653217,6.543075245365322,237
614450,1595,1458,115,1480,623,91.41065830721004,7.210031347962382,972
614454,444,350,47,397,193,78.82882882882883,10.585585585585585,251
614484,493,267,226,267,395,54.15821501014199,45.84178498985801,98
616035,943,654,165,778,539,69.35312831389183,17.497348886532343,404
616644,479,439,7,472,227,91.64926931106471,1.4613778705636742,252
616728,1381,528,281,1100,1444,38.23316437364229,20.347574221578565,-63
616762,1171,529,527,644,510,45.175064047822374,45.00426985482493,661
617050,836,689,0,836,426,82.41626794258373,0,410
617288,392,338,54,338,172,86.22448979591837,13.77551020408163,220
617428,730,267,463,267,194,36.57534246575342,63.42465753424658,536
617727,1030,476,519,511,72,46.213592233009706,50.3883495145631,958
617995,1096,1006,54,1042,20,91.78832116788321,4.927007299270073,1076
618030,420,376,5,415,18,89.52380952380953,1.1904761904761905,402
618450,437,101,336,101,164,23.112128146453088,76.88787185354691,273
618464,2800,934,1721,1079,9918,33.357142857142854,61.464285714285715,-7118
618485,832,554,240,592,798,66.58653846153845,28.846153846153843,34
618674,1531,23,1454,77,1489,1.5022860875244939,94.97060744611365,42
618926,943,804,110,833,324,85.25980911983034,11.664899257688228,619
618986,4401,2122,1874,2527,4244,48.21631447398318,42.58123153828675,157
619024,1173,119,1010,163,1039,10.144927536231885,86.10400682011935,134
619262,753,496,138,615,82,65.86985391766268,18.326693227091635,671
619406,1230,998,223,1007,2447,81.13821138211382,18.130081300813007,-1217
619416,1597,1256,109,1488,658,78.6474639949906,6.825297432686287,939
619584,1814,960,691,1123,1115,52.921719955898574,38.09261300992282,699
619654,1531,657,750,781,171,42.913128674069235,48.98758981058132,1360
619724,636,456,77,559,670,71.69811320754717,12.10691823899371,-34
619878,669,613,16,653,382,91.62929745889387,2.391629297458894,287
620032,3461,406,2769,692,646,11.730713666570356,80.00577867668304,2815
620284,1024,787,155,869,295,76.85546875,15.13671875,729
620424,351,303,20,331,70,86.32478632478633,5.698005698005698,281
620900,724,514,147,577,251,70.99447513812154,20.303867403314918,473
620942,1161,5,1075,86,321,0.4306632213608958,92.5925925925926,840
621188,1104,963,63,1041,2168,87.22826086956522,5.706521739130435,-1064
621210,5563,2404,3091,2472,951,43.2140931152256,55.563544849901135,4612
621530,1349,1266,41,1308,30,93.8472942920682,3.039288361749444,1319
621558,2158,242,1844,314,274,11.214087117701576,85.44949026876738,1884
622006,554,397,76,478,136,71.66064981949458,13.718411552346572,418
622286,1060,758,302,758,412,71.50943396226414,28.49056603773585,648
622360,1768,315,1453,315,16,17.816742081447963,82.18325791855203,1752
622972,543,470,23,520,750,86.55616942909761,4.23572744014733,-207
623210,1927,365,1251,676,1983,18.94135962636222,64.9195640892579,-56
623532,1476,1129,311,1165,712,76.49051490514906,21.070460704607047,764
623630,1909,855,970,939,124,44.78784704033526,50.81194342587742,1785
623980,1039,887,106,933,86,85.37054860442733,10.202117420596728,953
624022,387,319,0,387,130,82.42894056847545,0,257
624218,539,414,63,476,44,76.80890538033395,11.688311688311687,495
624764,2209,1139,1042,1167,4154,51.561792666364866,47.17066545948393,-1945
624834,2880,2579,207,2673,1345,89.54861111111111,7.187499999999999,1535
624918,998,848,17,981,1064,84.96993987975952,1.7034068136272544,-66
625030,881,605,84,797,161,68.67196367763904,9.534619750283769,720
625128,1875,1499,168,1707,848,79.94666666666667,8.959999999999999,1027
625506,924,320,287,637,33,34.63203463203463,31.060606060606062,891
625534,759,710,9,750,2730,93.54413702239789,1.185770750988142,-1971
625590,931,315,318,613,68,33.83458646616541,34.15682062298603,863
626056,1028,916,30,998,441,89.10505836575877,2.9182879377431905,587
627014,1547,1069,196,1351,263,69.10148674854557,12.669683257918551,1284
627190,3110,777,2279,831,924,24.983922829581996,73.27974276527331,2186
628021,492,389,37,455,187,79.0650406504065,7.520325203252034,305
628154,1350,1169,67,1283,1061,86.59259259259258,4.962962962962963,289
629112,4401,2122,1874,2527,6380,48.21631447398318,42.58123153828675,-1979
629154,797,611,74,723,500,76.6624843161857,9.284818067754077,297
629252,785,727,30,755,76,92.61146496815287,3.821656050955414,709
629392,1630,627,682,948,1201,38.466257668711656,41.84049079754602,429
630028,726,712,14,712,614,98.07162534435263,1.9283746556473829,112
630339,809,731,23,786,22,90.3584672435105,2.843016069221261,787
630420,701,631,54,647,23,90.01426533523538,7.703281027104136,678
630714,598,585,0,598,0,97.82608695652173,0,598
630882,1231,329,902,329,888,26.726238830219334,73.27376116978067,343
630900,541,420,72,469,566,77.63401109057301,13.308687615526802,-25
631134,1952,1572,67,1885,183,80.5327868852459,3.432377049180328,1769
631162,1002,847,76,926,950,84.53093812375249,7.584830339321358,52
631246,785,727,30,755,421,92.61146496815287,3.821656050955414,364
631288,630,198,423,207,419,31.428571428571427,67.14285714285714,211
631890,2135,416,1703,432,1718,19.484777517564403,79.76580796252928,417
632030,888,591,115,773,1153,66.55405405405406,12.950450450450452,-265
632156,1112,732,342,770,184,65.82733812949641,30.755395683453234,928
632324,382,298,56,326,0,78.01047120418848,14.659685863874344,382
633084,2099,0,2099,0,4256,0,100,-2157
633504,997,693,265,732,479,69.5085255767302,26.57973921765296,518
633935,908,837,47,861,413,92.18061674008811,5.176211453744493,495
634281,1219,223,879,340,1787,18.293683347005743,72.10828547990155,-568
634405,420,376,5,415,20,89.52380952380953,1.1904761904761905,400
634652,976,703,185,791,587,72.02868852459017,18.954918032786885,389
634694,595,543,33,562,275,91.26050420168067,5.546218487394958,320
634708,637,503,93,544,56,78.96389324960754,14.599686028257459,581
634928,2529,1853,119,2410,3704,73.27006722024517,4.705417160933175,-1175
636084,2801,84,2717,84,6777,2.9989289539450197,97.00107104605497,-3976
636098,1356,1342,0,1356,255,98.96755162241888,0,1101
636168,560,375,18,542,32,66.96428571428571,3.214285714285714,528
636364,836,689,0,836,23,82.41626794258373,0,813
636420,2414,1994,240,2174,889,82.60149130074565,9.942004971002486,1525
636452,2033,1161,838,1195,910,57.10772257747172,41.219872110181996,1123
636882,1665,1165,423,1242,792,69.96996996996997,25.405405405405407,873
637022,330,163,111,219,77,49.3939393939394,33.63636363636363,253
637400,2047,557,980,1067,79,27.21055202735711,47.87493893502687,1968
637512,809,731,23,786,35,90.3584672435105,2.843016069221261,774
637596,1327,1200,47,1280,920,90.42954031650339,3.541823662396383,407
637918,420,376,5,415,80,89.52380952380953,1.1904761904761905,340
638024,1502,1277,37,1465,2594,85.01997336884153,2.463382157123835,-1092
638076,560,375,18,542,37,66.96428571428571,3.214285714285714,523
638394,1825,80,1730,95,1648,4.383561643835616,94.79452054794521,177
638646,753,420,58,695,98,55.77689243027888,7.702523240371846,655
638702,1288,786,108,1180,955,61.024844720496894,8.385093167701864,333
638800,2097,675,1416,681,1161,32.18884120171674,67.52503576537912,936
639472,881,605,84,797,35,68.67196367763904,9.534619750283769,846
639483,752,645,107,645,45,85.77127659574468,14.22872340425532,707
639514,969,801,29,940,493,82.6625386996904,2.9927760577915374,476
639556,3018,1974,947,2071,469,65.4075546719682,31.378396288933068,2549
639570,759,586,102,657,3093,77.2068511198946,13.438735177865613,-2334
639696,759,710,9,750,539,93.54413702239789,1.185770750988142,220
639836,4176,1349,2438,1738,1723,32.303639846743295,58.38122605363984,2453
640116,736,21,679,57,398,2.8532608695652173,92.25543478260869,338
640312,498,437,43,455,12,87.75100401606426,8.634538152610443,486
640536,1630,627,682,948,154,38.466257668711656,41.84049079754602,1476
640746,1770,236,1534,236,1144,13.333333333333334,86.66666666666667,626
640872,914,190,714,200,436,20.787746170678336,78.11816192560175,478
640928,1265,737,177,1088,1227,58.26086956521739,13.992094861660078,38
640998,500,428,61,439,234,85.6,12.2,266
641026,679,509,133,546,54,74.96318114874816,19.587628865979383,625
641040,1734,178,1528,206,1823,10.265282583621683,88.1199538638985,-89
641110,769,666,93,676,214,86.60598179453837,12.093628088426527,555
641166,3286,1660,601,2685,6913,50.5173463177115,18.289713937918442,-3627
641194,1479,487,420,1059,3153,32.92765382014875,28.397565922920894,-1674
641278,1420,1301,33,1387,1480,91.61971830985915,2.323943661971831,-60
641390,664,469,137,527,31,70.63253012048193,20.632530120481928,633
641656,706,263,410,296,520,37.25212464589235,58.07365439093485,186
641740,840,22,802,38,561,2.619047619047619,95.47619047619048,279
641789,498,437,43,455,0,87.75100401606426,8.634538152610443,498
641866,1799,1496,136,1663,38,83.15730961645359,7.5597554196775985,1761
642328,1098,787,144,954,661,71.67577413479053,13.114754098360656,437
642566,2084,138,1933,151,2080,6.621880998080615,92.75431861804223,4
