term,estimate,std.error,statistic,p.value,,
(Intercept),1.515018463,0.831973504,1.820993644,0.071277378,,
Data$GSATypeJPA,-2.812112729,0.640200065,-4.392553023,2.55E-05,,
Data$GSATypeMOU,-0.836700465,0.758990627,-1.102385769,0.272657219,,
Data$GSATypeSingle,-3.104956391,0.635830617,-4.883307457,3.49E-06,,
Data$GSA_Int_Percent,1.207310406,0.543238736,2.222430631,0.028263266,,
Data$Trans_DACP_MHI,1.71E-14,5.67E-15,3.022653442,0.003106195,,
Data$DAC_Population,1.33E-04,6.76E-05,1.972849447,0.050976654,,
Data$IncorporatedY,1.008914252,0.39641007,2.54512771,0.012284368,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,1.71E-14,1.71E-11,3.43E-10
,,,,,,
,,,,1.33E-04,0.13,6.67E-01